"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1A_S21","RF3A5",6,3,0.25,8.17,1,1,1,3.6036833,1,10.8483990051016,-3.64334899258562
"Exp1A_S21","RF8A5",9,8,0.25,12.16,1,2,1,2.77427740000007,1,12.923627739098,8.01909756876431
"Exp1A_S21","RF4A10",11,4,0.5,12.24,1,3,1,1.77694120000001,1,9.58158482159168,5.222159379833
"Exp1A_S21","RF5A2",4,5,0.1,7.66,1,4,1,1.51948160000006,1,-2.14522767016284,-7.33660531640656
"Exp1A_S21","RF4A2",3,4,0.1,7.51,1,5,1,1.74996799999997,1,6.63371898511785,7.50663626708587
"Exp1A_S21","RF5A10",12,5,0.5,14.18,1,6,1,1.55812520000006,1,-1.11020857964738,12.0345761417748
"Exp1A_S21","RF3A10",10,3,0.5,10.43,1,7,1,1.15856299999996,1,-8.91542943154039,2.40753997301188
"Exp1A_S21","RF3A2",2,3,0.1,7.38,1,8,1,1.61010459999989,1,1.97856019632142,1.25758456062407
"Exp1A_S21","RF8A10",13,8,0.5,20.4,1,9,1,1.66216359999999,1,14.2056065524739,8.33781385332698
"Exp1A_S21","RF5A5",8,5,0.25,9.55,1,10,1,1.12976790000016,1,4.60532652141173,14.6599817361043
"Exp1A_S21","RF4A5",7,4,0.25,8.8,1,11,1,3.02865859999997,1,4.17380176256077,-12.2772907409309
"Exp1A_S21","RF0A0",1,0,0,7.22,1,12,1,1.08520500000009,1,13.7708672064633,2.3957244061143
"Exp1A_S21","RF8A2",5,8,0.1,8.27,1,13,1,4.00128010000003,1,-14.6429321251515,-13.2784827149486
"Exp1A_S21","RF8A10",13,8,0.5,20.4,2,14,1,1.92936670000017,1,3.31677448186785,7.59249398507232
"Exp1A_S21","RF8A2",5,8,0.1,8.27,2,15,1,1.94484499999999,1,13.9697516454367,-13.8289250490922
"Exp1A_S21","RF5A5",8,5,0.25,9.55,2,16,1,1.02548900000011,1,1.03694964544405,-1.50577900729449
"Exp1A_S21","RF3A10",10,3,0.5,10.43,2,17,1,2.41515879999997,1,-7.30107128803121,-10.5024780237532
"Exp1A_S21","RF5A2",4,5,0.1,7.66,2,18,1,1.12252119999994,1,0.038550828448539,4.87068885098942
"Exp1A_S21","RF5A10",12,5,0.5,14.18,2,19,1,1.14967060000026,1,12.1896160658762,0.571223699795816
"Exp1A_S21","RF4A10",11,4,0.5,12.24,2,20,1,0.807178500000191,1,2.52220659485177,-5.58549656965872
"Exp1A_S21","RF0A0",1,0,0,7.22,2,21,1,1.26266850000002,1,-4.6857795719324,-2.79478908277589
"Exp1A_S21","RF3A2",2,3,0.1,7.38,2,22,1,1.37419729999965,1,-11.3337236345466,1.10508336028358
"Exp1A_S21","RF4A5",7,4,0.25,8.8,2,23,1,2.83918330000006,1,-4.23072668206088,-8.04048729172424
"Exp1A_S21","RF8A5",9,8,0.25,12.16,2,24,1,1.55848409999999,1,0.0366699418838365,-1.85947000666995
"Exp1A_S21","RF3A5",6,3,0.25,8.17,2,25,1,3.14137699999992,1,-7.59424631700528,-3.48256123904282
"Exp1A_S21","RF4A2",3,4,0.1,7.51,2,26,1,1.28637359999993,1,1.95516822199752,2.05212149499769
"Exp1A_S21","RF3A5",6,3,0.25,8.17,1,1,2,5.05152670000001,1,9.28490059075735,-15.502896723
"Exp1A_S21","RF8A5",9,8,0.25,12.16,1,2,2,3.69413430000009,1,15.4728625872631,-0.102599373642995
"Exp1A_S21","RF4A10",11,4,0.5,12.24,1,3,2,2.34491129999992,1,8.08671776055417,12.4722357148413
"Exp1A_S21","RF5A2",4,5,0.1,7.66,1,4,2,12.9276122,1,-2.75722251715807,1.78056641359694
"Exp1A_S21","RF4A2",3,4,0.1,7.51,1,5,2,2.5900517,1,15.2663036800298,-4.2592464057822
"Exp1A_S21","RF5A10",12,5,0.5,14.18,1,6,2,2.53150260000007,1,12.2953287660491,14.9411890240599
"Exp1A_S21","RF3A10",10,3,0.5,10.43,1,7,2,1.72641279999993,1,-10.3056697853879,-6.44744059192203
"Exp1A_S21","RF3A2",2,3,0.1,7.38,1,8,2,2.47423159999994,1,9.02257438270506,-4.74264873256331
"Exp1A_S21","RF8A10",13,8,0.5,20.4,1,9,2,2.50230119999992,1,-12.1777824405928,5.49471693496146
"Exp1A_S21","RF5A5",8,5,0.25,9.55,1,10,2,2.40972690000012,1,-6.05883695834063,4.91838448397063
"Exp1A_S21","RF4A5",7,4,0.25,8.8,1,11,2,4.34867439999994,1,-8.89971094772,-11.6552783470044
"Exp1A_S21","RF0A0",1,0,0,7.22,1,12,2,2.80611969999995,1,-5.2175529308526,4.42811925028242
"Exp1A_S21","RF8A2",5,8,0.1,8.27,1,13,2,8.54495910000014,1,-12.0958933226827,-0.333068809375963
"Exp1A_S21","RF8A10",13,8,0.5,20.4,2,14,2,2.58553140000004,1,13.3781132374112,6.55286312418021
"Exp1A_S21","RF8A2",5,8,0.1,8.27,2,15,2,10.0489608999999,1,-2.27053550831573,15.1761128434449
"Exp1A_S21","RF5A5",8,5,0.25,9.55,2,16,2,1.47419929999978,1,-6.05675461696742,-7.43061116551807
"Exp1A_S21","RF3A10",10,3,0.5,10.43,2,17,2,6.03935179999962,1,-15.0177360814699,6.52626558260918
"Exp1A_S21","RF5A2",4,5,0.1,7.66,2,18,2,2.53067659999988,1,-6.36643160390655,11.4202724362708
"Exp1A_S21","RF5A10",12,5,0.5,14.18,2,19,2,1.82958850000023,1,3.77453466115233,10.0445849409105
"Exp1A_S21","RF4A10",11,4,0.5,12.24,2,20,2,1.69379890000027,1,15.110575607737,14.9844784745086
"Exp1A_S21","RF0A0",1,0,0,7.22,2,21,2,1.79852200000005,1,4.39461160770288,6.4697465776538
"Exp1A_S21","RF3A2",2,3,0.1,7.38,2,22,2,2.40626199999997,1,7.82969514332633,8.88094061962544
"Exp1A_S21","RF4A5",7,4,0.25,8.8,2,23,2,3.44726799999989,1,10.6514508682259,-5.96186310017672
"Exp1A_S21","RF8A5",9,8,0.25,12.16,2,24,2,2.26225380000005,1,-4.73042832658311,-12.5171318943309
"Exp1A_S21","RF3A5",6,3,0.25,8.17,2,25,2,3.92510380000022,1,-1.84888607758773,6.27982012988765
"Exp1A_S21","RF4A2",3,4,0.1,7.51,2,26,2,2.15797659999998,1,11.7345541307877,-15.8941753094104
"Exp1A_S21","RF3A5",6,3,0.25,8.17,1,1,3,101.8595426,1,-1.81073446988514,14.5385943825668
"Exp1A_S21","RF8A5",9,8,0.25,12.16,1,2,3,6.02227190000008,1,-5.03948332803983,-10.2682523091278
"Exp1A_S21","RF4A10",11,4,0.5,12.24,1,3,3,3.07302719999996,1,-2.12638159817894,3.58687601580914
"Exp1A_S21","RF5A2",4,5,0.1,7.66,1,4,3,16.5913643,1,-14.1209192950566,9.28697803544042
"Exp1A_S21","RF4A2",3,4,0.1,7.51,1,5,3,3.84565099999998,1,-2.6826642019784,-1.8987064507572
"Exp1A_S21","RF5A10",12,5,0.5,14.18,1,6,3,3.3317796,1,10.5798946934282,4.59387311263739
"Exp1A_S21","RF3A10",10,3,0.5,10.43,1,7,3,2.35839139999996,1,-1.00397655765949,-4.24306607627525
"Exp1A_S21","RF3A2",2,3,0.1,7.38,1,8,3,3.61021989999995,1,-8.86054081133357,-3.54773256589183
"Exp1A_S21","RF8A10",13,8,0.5,20.4,1,9,3,3.93447839999999,1,-14.1810318136787,-9.76307769911839
"Exp1A_S21","RF5A5",8,5,0.25,9.55,1,10,3,2.96186990000001,1,-12.7245941614462,6.07024436118684
"Exp1A_S21","RF4A5",7,4,0.25,8.8,1,11,3,19.6848399999999,1,-11.9481345677205,10.9959471990259
"Exp1A_S21","RF0A0",1,0,0,7.22,1,12,3,4.72600050000005,1,-9.41423286701923,-11.5169114700764
"Exp1A_S21","RF8A2",5,8,0.1,8.27,1,13,3,11.4334911000001,1,2.31136595409092,4.462291793108
"Exp1A_S21","RF8A10",13,8,0.5,20.4,2,14,3,3.62537599999996,1,0.929529818985223,15.9029615167719
"Exp1A_S21","RF8A2",5,8,0.1,8.27,2,15,3,14.6165647,1,-0.291723339437862,5.76294487837233
"Exp1A_S21","RF5A5",8,5,0.25,9.55,2,16,3,2.99292890000015,1,8.51673911164553,-0.071050162224644
"Exp1A_S21","RF3A10",10,3,0.5,10.43,2,17,3,8.06346889999986,1,-14.8603993237454,-14.5030197001037
"Exp1A_S21","RF5A2",4,5,0.1,7.66,2,18,3,4.36245129999998,1,-3.70963059253958,-13.1191033092248
"Exp1A_S21","RF5A10",12,5,0.5,14.18,2,19,3,2.91789610000023,1,-4.70046676669579,-8.95469401852223
"Exp1A_S21","RF4A10",11,4,0.5,12.24,2,20,3,2.24555830000008,1,10.855237884928,5.71408219722996
"Exp1A_S21","RF0A0",1,0,0,7.22,2,21,3,2.52656100000013,1,-12.5487295117786,-0.765080155893482
"Exp1A_S21","RF3A2",2,3,0.1,7.38,2,22,3,4.31814859999986,1,15.9632583948746,-10.7356941702215
"Exp1A_S21","RF4A5",7,4,0.25,8.8,2,23,3,4.37518339999997,1,-1.65700385434908,-1.79501076119631
"Exp1A_S21","RF8A5",9,8,0.25,12.16,2,24,3,4.89418260000002,1,-9.43765218850065,0.516351426880362
"Exp1A_S21","RF3A5",6,3,0.25,8.17,2,25,3,6.38941690000001,1,7.77297590401989,-11.8293383470083
"Exp1A_S21","RF4A2",3,4,0.1,7.51,2,26,3,2.82207629999994,1,12.0574636665985,-4.42186956224376
