"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp1B_S1","RF0A0",0,0,7.22,1,17.29998712
"Exp1B_S1","RF8A2",8,0.1,8.27,2,49.57705553
"Exp1B_S1","RF10A2",10,0.1,8.79,3,21.17024479
"Exp1B_S1","RF14A2",14,0.1,10.01,4,18.63367808
"Exp1B_S1","RF20A2",20,0.1,12.12,5,18.72457412
"Exp1B_S1","RF8A5",8,0.25,12.16,6,30.71163742
"Exp1B_S1","RF10A5",10,0.25,14.08,7,33.11685686
"Exp1B_S1","RF14A5",14,0.25,18.18,8,4.3692658
"Exp1B_S1","RF20A5",20,0.25,24.63,9,2.16984607
"Exp1B_S1","RF8A10",8,0.5,20.4,10,8.22479942
"Exp1B_S1","RF10A10",10,0.5,24.73,11,2.64020936
"Exp1B_S1","RF14A10",14,0.5,33.57,12,6.75405155
"Exp1B_S1","RF20A10",20,0.5,47.08,13,2.3856515
"Exp1B_S12","RF0A0",0,0,7.22,1,20.46180728
"Exp1B_S12","RF8A2",8,0.1,8.27,2,32.72062934
"Exp1B_S12","RF10A2",10,0.1,8.79,3,47.12694028
"Exp1B_S12","RF14A2",14,0.1,10.01,4,16.49213072
"Exp1B_S12","RF20A2",20,0.1,12.12,5,45.6825947
"Exp1B_S12","RF8A5",8,0.25,12.16,6,47.13037509
"Exp1B_S12","RF10A5",10,0.25,14.08,7,23.3987147
"Exp1B_S12","RF14A5",14,0.25,18.18,8,44.35637162
"Exp1B_S12","RF20A5",20,0.25,24.63,9,15.37641918
"Exp1B_S12","RF8A10",8,0.5,20.4,10,13.61135991
"Exp1B_S12","RF10A10",10,0.5,24.73,11,18.47853517
"Exp1B_S12","RF14A10",14,0.5,33.57,12,6.66949214
"Exp1B_S12","RF20A10",20,0.5,47.08,13,7.26630916
"Exp1B_S14","RF0A0",0,0,7.22,1,15.04061873
"Exp1B_S14","RF8A2",8,0.1,8.27,2,101.16204122
"Exp1B_S14","RF10A2",10,0.1,8.79,3,18.41003895
"Exp1B_S14","RF14A2",14,0.1,10.01,4,48.67000759
"Exp1B_S14","RF20A2",20,0.1,12.12,5,32.39518756
"Exp1B_S14","RF8A5",8,0.25,12.16,6,20.67790403
"Exp1B_S14","RF10A5",10,0.25,14.08,7,20.59240516
"Exp1B_S14","RF14A5",14,0.25,18.18,8,13.57063977
"Exp1B_S14","RF20A5",20,0.25,24.63,9,14.84908076
"Exp1B_S14","RF8A10",8,0.5,20.4,10,4.50734719
"Exp1B_S14","RF10A10",10,0.5,24.73,11,4.64061652
"Exp1B_S14","RF14A10",14,0.5,33.57,12,4.48335014
"Exp1B_S14","RF20A10",20,0.5,47.08,13,2.36756729
"Exp1B_S15","RF0A0",0,0,7.22,1,5.94748131000005
"Exp1B_S15","RF8A2",8,0.1,8.27,2,14.80313319
"Exp1B_S15","RF10A2",10,0.1,8.79,3,30.1388269099999
"Exp1B_S15","RF14A2",14,0.1,10.01,4,22.9554351
