"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S1","RF20A2",5,20,0.1,12.12,1,1,1,3.6645277,1,-0.207796896,15.38155847
"Exp1B_S1","RF14A10",12,14,0.5,33.57,1,2,1,0.9170811,1,-5.485549494,14.34007932
"Exp1B_S1","RF20A10",13,20,0.5,47.08,1,3,1,1.2367787,1,2.421617493,10.82520408
"Exp1B_S1","RF8A10",10,8,0.5,20.4,1,4,1,2.0487006,1,5.73311152,5.823733261
"Exp1B_S1","RF8A2",2,8,0.1,8.27,1,5,1,5.7286206,1,3.391326928,-7.312683955
"Exp1B_S1","RF20A5",9,20,0.25,24.63,1,6,1,0.7939739,1,-14.35823192,15.88553498
"Exp1B_S1","RF10A2",3,10,0.1,8.79,1,7,1,4.2117679,1,-11.16937381,4.525855619
"Exp1B_S1","RF14A2",4,14,0.1,10.01,1,8,1,2.8442341,1,2.147262354,14.79534683
"Exp1B_S1","RF14A5",8,14,0.25,18.18,1,9,1,2.4784363,1,7.533304042,8.579534246
"Exp1B_S1","RF10A5",7,10,0.25,14.08,1,10,1,1.6073175,1,12.09185388,13.11833676
"Exp1B_S1","RF10A10",11,10,0.5,24.73,1,11,1,1.1747801,1,-5.612465293,8.463163997
"Exp1B_S1","RF8A5",6,8,0.25,12.16,1,12,1,0.7123986,1,-10.10125522,14.59121778
"Exp1B_S1","RF0A0",1,0,0,7.22,1,13,1,1.2434032,1,10.60996592,12.94781845
"Exp1B_S1","RF8A2",2,8,0.1,8.27,2,14,1,20.2599101,1,2.479638827,-10.80885115
"Exp1B_S1","RF0A0",1,0,0,7.22,2,15,1,1.1712014,1,-3.785363028,12.52621506
"Exp1B_S1","RF14A10",12,14,0.5,33.57,2,16,1,1.1160436,1,-11.5125664,14.75390443
"Exp1B_S1","RF10A2",3,10,0.1,8.79,2,17,1,3.0176306,1,-10.06235675,3.65455404
"Exp1B_S1","RF10A5",7,10,0.25,14.08,2,18,1,1.7665008,1,8.724579636,-6.137104476
"Exp1B_S1","RF14A2",4,14,0.1,10.01,2,19,1,1.1724853,1,-2.954609881,11.36859217
"Exp1B_S1","RF10A10",11,10,0.5,24.73,2,20,1,1.7887859,1,1.157805195,7.510364716
"Exp1B_S1","RF20A5",9,20,0.25,24.63,2,21,1,0.8067368,1,-1.332416698,15.34261582
"Exp1B_S1","RF8A5",6,8,0.25,12.16,2,22,1,3.4526199,1,12.07465119,2.355020472
"Exp1B_S1","RF20A10",13,20,0.5,47.08,2,23,1,0.9551204,1,3.640790238,13.59530437
"Exp1B_S1","RF14A5",8,14,0.25,18.18,2,24,1,0.9194564,1,2.984453099,15.0384791
"Exp1B_S1","RF20A2",5,20,0.1,12.12,2,25,1,5.8811602,1,11.21445846,-14.80658827
"Exp1B_S1","RF8A10",10,8,0.5,20.4,2,26,1,1.4266955,1,11.55651178,-4.567981631
"Exp1B_S1","RF20A2",5,20,0.1,12.12,1,1,2,12.2642527,1,-4.349586506,-3.832923092
"Exp1B_S1","RF14A10",12,14,0.5,33.57,1,2,2,1.5249803,1,9.677016546,8.902582252
"Exp1B_S1","RF20A10",13,20,0.5,47.08,1,3,2,1.8128383,1,-3.706253703,14.50433266
"Exp1B_S1","RF8A10",10,8,0.5,20.4,1,4,2,2.5925068,1,-0.600486056,-0.649422918
"Exp1B_S1","RF8A2",2,8,0.1,8.27,1,5,2,9.1368117,1,14.01196606,10.209047
"Exp1B_S1","RF20A5",9,20,0.25,24.63,1,6,2,1.3856776,1,-13.54435535,5.751851431
"Exp1B_S1","RF10A2",3,10,0.1,8.79,1,7,2,11.5794744,1,6.821318005,14.59827325
"Exp1B_S1","RF14A2",4,14,0.1,10.01,1,8,2,3.3879267,1,0.305174706,4.523454208
"Exp1B_S1","RF14A5",8,14,0.25,18.18,1,9,2,4.1901289,1,-1.315673596,0.448647795
"Exp1B_S1","RF10A5",7,10,0.25,14.08,1,10,2,2.3431617,1,-5.462244301,5.692677418
