"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp2A_S1","RF0A0",0,0,7.22,1,5.22510024
"Exp2A_S1","RF3A2",3,0.1,6.72,2,54.5905646599999
"Exp2A_S1","RF4A2",4,0.1,6.83,3,10.4272801300001
"Exp2A_S1","RF5A2",5,0.1,6.97,4,8.00259064999993
"Exp2A_S1","RF8A2",8,0.1,7.52,5,48.81950007
"Exp2A_S1","RF3A5",3,0.25,6.53,6,63.62747653
"Exp2A_S1","RF4A5",4,0.25,7.04,7,16.2169534200001
"Exp2A_S1","RF5A5",5,0.25,7.64,8,13.6783484599999
"Exp2A_S1","RF8A5",8,0.25,9.72,9,45.1921883500001
"Exp2A_S1","RF3A10",3,0.5,6.99,10,25.4695278300001
"Exp2A_S1","RF4A10",4,0.5,8.2,11,17.06472243
"Exp2A_S1","RF5A10",5,0.5,9.5,12,42.20032477
"Exp2A_S1","RF8A10",8,0.5,13.67,13,10.0673347
"Exp2A_S12","RF0A0",0,0,7.22,1,8.53158289999994
"Exp2A_S12","RF3A2",3,0.1,6.72,2,17.0704968799999
"Exp2A_S12","RF4A2",4,0.1,6.83,3,22.60371994
"Exp2A_S12","RF5A2",5,0.1,6.97,4,16.77953804
"Exp2A_S12","RF8A2",8,0.1,7.52,5,35.7693584599999
"Exp2A_S12","RF3A5",3,0.25,6.53,6,16.7878131100001
"Exp2A_S12","RF4A5",4,0.25,7.04,7,18.1574639199999
"Exp2A_S12","RF5A5",5,0.25,7.64,8,14.76427519
"Exp2A_S12","RF8A5",8,0.25,9.72,9,11.34674431
"Exp2A_S12","RF3A10",3,0.5,6.99,10,69.03949921
"Exp2A_S12","RF4A10",4,0.5,8.2,11,40.1891933200001
"Exp2A_S12","RF5A10",5,0.5,9.5,12,37.6842830099999
"Exp2A_S12","RF8A10",8,0.5,13.67,13,18.3899034699999
"Exp2A_S22","RF0A0",0,0,7.22,1,33.14378733
"Exp2A_S22","RF3A2",3,0.1,6.72,2,5.62540661999993
"Exp2A_S22","RF4A2",4,0.1,6.83,3,18.32023791
"Exp2A_S22","RF5A2",5,0.1,6.97,4,4.95562579000005
"Exp2A_S22","RF8A2",8,0.1,7.52,5,23.54035518
"Exp2A_S22","RF3A5",3,0.25,6.53,6,15.3899333799999
"Exp2A_S22","RF4A5",4,0.25,7.04,7,12.32248227
"Exp2A_S22","RF5A5",5,0.25,7.64,8,24.73049515
"Exp2A_S22","RF8A5",8,0.25,9.72,9,16.7169078699999
"Exp2A_S22","RF3A10",3,0.5,6.99,10,16.5236422299999
"Exp2A_S22","RF4A10",4,0.5,8.2,11,14.45368637
"Exp2A_S22","RF5A10",5,0.5,9.5,12,7.07373257000005
"Exp2A_S22","RF8A10",8,0.5,13.67,13,23.18952065
"Exp2A_S24","RF0A0",0,0,7.22,1,24.26094293
"Exp2A_S24","RF3A2",3,0.1,6.72,2,21.3896734699999
"Exp2A_S24","RF4A2",4,0.1,6.83,3,11.9773753000001
"Exp2A_S24","RF5A2",5,0.1,6.97,4,41.3970165099999
"Exp2A_S24","RF8A2",8,0.1,7.52,5,16.5731445099999
"Exp2A_S24","RF3A5",3,0.25,6.53,6,22.42619069
"Exp2A_S24","RF4A5",4,0.25,7.04,7,38.09354012
"Exp2A_S24","RF5A5",5,0.25,7.64,8,15.75803698
"Exp2A_S24","RF8A5",8,0.25,9.72,9,9.91020236999998
"Exp2A_S24","RF3A10",3,0.5,6.99,10,33.81837922
"Exp2A_S24","RF4A10",4,0.5,8.2,11,12.16231183
"Exp2A_S24","RF5A10",5,0.5,9.5,12,12.17092148
"Exp2A_S24","RF8A10",8,0.5,13.67,13,24.7932404100001
"Exp2A_S25","RF0A0",0,0,7.22,1,24.21374984
"Exp2A_S25","RF3A2",3,0.1,6.72,2,7.07090129000006
"Exp2A_S25","RF4A2",4,0.1,6.83,3,38.7901890500001
"Exp2A_S25","RF5A2",5,0.1,6.97,4,52.16753075
"Exp2A_S25","RF8A2",8,0.1,7.52,5,28.6729060099999
"Exp2A_S25","RF3A5",3,0.25,6.53,6,24.85149547
"Exp2A_S25","RF4A5",4,0.25,7.04,7,44.1477966299999
"Exp2A_S25","RF5A5",5,0.25,7.64,8,10.9548610999999
"Exp2A_S25","RF8A5",8,0.25,9.72,9,39.46861901
"Exp2A_S25","RF3A10",3,0.5,6.99,10,28.68122135
"Exp2A_S25","RF4A10",4,0.5,8.2,11,36.71290665
"Exp2A_S25","RF5A10",5,0.5,9.5,12,38.7650208700001
"Exp2A_S25","RF8A10",8,0.5,13.67,13,64.75714825
"Exp2A_S26","RF0A0",0,0,7.22,1,17.5174134200001
"Exp2A_S26","RF3A2",3,0.1,6.72,2,19.26355411
"Exp2A_S26","RF4A2",4,0.1,6.83,3,37.77498246
"Exp2A_S26","RF5A2",5,0.1,6.97,4,15.22449646
"Exp2A_S26","RF8A2",8,0.1,7.52,5,5.65152893000004
"Exp2A_S26","RF3A5",3,0.25,6.53,6,15.44865897
"Exp2A_S26","RF4A5",4,0.25,7.04,7,19.05854662
"Exp2A_S26","RF5A5",5,0.25,7.64,8,18.12134027
"Exp2A_S26","RF8A5",8,0.25,9.72,9,11.60801042
"Exp2A_S26","RF3A10",3,0.5,6.99,10,24.78366729
"Exp2A_S26","RF4A10",4,0.5,8.2,11,49.66698699
"Exp2A_S26","RF5A10",5,0.5,9.5,12,68.45487915
"Exp2A_S26","RF8A10",8,0.5,13.67,13,8.67780399000002
"Exp2A_S2","RF0A0",0,0,7.22,1,12.6387053299999
"Exp2A_S2","RF3A2",3,0.1,6.72,2,28.87361748
"Exp2A_S2","RF4A2",4,0.1,6.83,3,20.26395492
"Exp2A_S2","RF5A2",5,0.1,6.97,4,43.3164690499999
"Exp2A_S2","RF8A2",8,0.1,7.52,5,70.91982273
"Exp2A_S2","RF3A5",3,0.25,6.53,6,65.64485781
"Exp2A_S2","RF4A5",4,0.25,7.04,7,37.4360895900001
"Exp2A_S2","RF5A5",5,0.25,7.64,8,25.0166875200001
"Exp2A_S2","RF8A5",8,0.25,9.72,9,43.12607491
"Exp2A_S2","RF3A10",3,0.5,6.99,10,24.7133799700001
"Exp2A_S2","RF4A10",4,0.5,8.2,11,20.19845679
"Exp2A_S2","RF5A10",5,0.5,9.5,12,41.57096065
"Exp2A_S2","RF8A10",8,0.5,13.67,13,30.7956841900001
"Exp2A_S3","RF0A0",0,0,7.22,1,15.0138003099999
"Exp2A_S3","RF3A2",3,0.1,6.72,2,49.54314412
"Exp2A_S3","RF4A2",4,0.1,6.83,3,19.0326358399999
"Exp2A_S3","RF5A2",5,0.1,6.97,4,53.14265967
"Exp2A_S3","RF8A2",8,0.1,7.52,5,67.12684383
"Exp2A_S3","RF3A5",3,0.25,6.53,6,13.1479591800001
"Exp2A_S3","RF4A5",4,0.25,7.04,7,28.94642678
"Exp2A_S3","RF5A5",5,0.25,7.64,8,60.66095277
"Exp2A_S3","RF8A5",8,0.25,9.72,9,43.9521031700001
"Exp2A_S3","RF3A10",3,0.5,6.99,10,14.64676278
"Exp2A_S3","RF4A10",4,0.5,8.2,11,9.17104396000007
"Exp2A_S3","RF5A10",5,0.5,9.5,12,40.7309900699999
"Exp2A_S3","RF8A10",8,0.5,13.67,13,29.72220324
"Exp2A_S4","RF0A0",0,0,7.22,1,9.87095807
"Exp2A_S4","RF3A2",3,0.1,6.72,2,16.04649059
"Exp2A_S4","RF4A2",4,0.1,6.83,3,19.17574277
"Exp2A_S4","RF5A2",5,0.1,6.97,4,16.1485795299999
"Exp2A_S4","RF8A2",8,0.1,7.52,5,21.91378089
"Exp2A_S4","RF3A5",3,0.25,6.53,6,21.92140451
"Exp2A_S4","RF4A5",4,0.25,7.04,7,27.90192929
"Exp2A_S4","RF5A5",5,0.25,7.64,8,52.67606186
"Exp2A_S4","RF8A5",8,0.25,9.72,9,17.60401655
"Exp2A_S4","RF3A10",3,0.5,6.99,10,23.02889633
"Exp2A_S4","RF4A10",4,0.5,8.2,11,17.7133829300001
"Exp2A_S4","RF5A10",5,0.5,9.5,12,51.67257666
"Exp2A_S4","RF8A10",8,0.5,13.67,13,14.41015239
"Exp2A_S5","RF0A0",0,0,7.22,1,8.54907261000006
"Exp2A_S5","RF3A2",3,0.1,6.72,2,7.88827431999997
"Exp2A_S5","RF4A2",4,0.1,6.83,3,34.51211306
"Exp2A_S5","RF5A2",5,0.1,6.97,4,44.17735751
"Exp2A_S5","RF8A2",8,0.1,7.52,5,14.49555704
"Exp2A_S5","RF3A5",3,0.25,6.53,6,25.6186276699999
"Exp2A_S5","RF4A5",4,0.25,7.04,7,46.90605242
"Exp2A_S5","RF5A5",5,0.25,7.64,8,11.24127265
"Exp2A_S5","RF8A5",8,0.25,9.72,9,43.3721893000001
"Exp2A_S5","RF3A10",3,0.5,6.99,10,37.7040300800001
"Exp2A_S5","RF4A10",4,0.5,8.2,11,31.21898669
"Exp2A_S5","RF5A10",5,0.5,9.5,12,32.8840981999999
"Exp2A_S5","RF8A10",8,0.5,13.67,13,15.5383991199998
"Exp2A_S6","RF0A0",0,0,7.22,1,17.1201565400001
"Exp2A_S6","RF3A2",3,0.1,6.72,2,5.84551343000004
"Exp2A_S6","RF4A2",4,0.1,6.83,3,37.34591557
"Exp2A_S6","RF5A2",5,0.1,6.97,4,11.88558599
"Exp2A_S6","RF8A2",8,0.1,7.52,5,33.7588748100001
"Exp2A_S6","RF3A5",3,0.25,6.53,6,14.53203039
"Exp2A_S6","RF4A5",4,0.25,7.04,7,31.14026799
"Exp2A_S6","RF5A5",5,0.25,7.64,8,34.7448735499999
"Exp2A_S6","RF8A5",8,0.25,9.72,9,9.76911522000002
"Exp2A_S6","RF3A10",3,0.5,6.99,10,59.05954811
"Exp2A_S6","RF4A10",4,0.5,8.2,11,35.00924675
"Exp2A_S6","RF5A10",5,0.5,9.5,12,48.47804701
"Exp2A_S6","RF8A10",8,0.5,13.67,13,6.59196352999992
"Exp2A_S7","RF0A0",0,0,7.22,1,12.4275528499999
"Exp2A_S7","RF3A2",3,0.1,6.72,2,6.39923245999985
"Exp2A_S7","RF4A2",4,0.1,6.83,3,22.79005356
"Exp2A_S7","RF5A2",5,0.1,6.97,4,21.63365677
"Exp2A_S7","RF8A2",8,0.1,7.52,5,26.34782089
"Exp2A_S7","RF3A5",3,0.25,6.53,6,4.41229548999994
"Exp2A_S7","RF4A5",4,0.25,7.04,7,21.7054882700001
"Exp2A_S7","RF5A5",5,0.25,7.64,8,5.59113650999998
"Exp2A_S7","RF8A5",8,0.25,9.72,9,33.9798056699999
"Exp2A_S7","RF3A10",3,0.5,6.99,10,19.5029324199999
"Exp2A_S7","RF4A10",4,0.5,8.2,11,35.21697612
"Exp2A_S7","RF5A10",5,0.5,9.5,12,10.36016088
"Exp2A_S7","RF8A10",8,0.5,13.67,13,6.04494254999995
