"Subject_ID","Condition_number","Radial_frequency","Amplitude","Order","Condition_repeat_number","MousePos_X","MousePos_Y","TargetClicked","ClickTime","TargetPos_X","TargetPos_Y","TargetID","Condition_name","RelativeClickPos_X","RelativeClickPos_Y"
"Exp2B_S1",8,14,0.25,1,1,-10.0257805786308,-7.76997994843884,"T2",2.66220960000001,-2.13599427508209,2.97212775602661,"T1","RF14A5",-7.88978630354868,-10.7421077044655
"Exp2B_S1",8,14,0.25,1,1,-15.2475412966676,13.743674209873,"T4",9.6943502,-2.13599427508209,2.97212775602661,"T1","RF14A5",-13.1115470215855,10.7715464538464
"Exp2B_S1",8,14,0.25,1,1,-15.8323784970878,5.99458130430631,"T5",10.6621263,-2.13599427508209,2.97212775602661,"T1","RF14A5",-13.6963842220057,3.0224535482797
"Exp2B_S1",8,14,0.25,1,1,15.017783825074,3.63434545975365,"T3",20.8537981,-2.13599427508209,2.97212775602661,"T1","RF14A5",17.1537781001561,0.66221770372704
"Exp2B_S1",8,14,0.25,1,1,-1.83805977274897,3.17483051656641,"T1",56.0531411,-2.13599427508209,2.97212775602661,"T1","RF14A5",0.297934502333113,0.202702760539797
"Exp2B_S1",3,10,0.1,2,1,-7.3522390909959,12.9081924949871,"T3",1.46249869999997,-14.9653507983751,8.37762452138105,"T1","RF10A2",7.61311170737918,4.53056797360606
"Exp2B_S1",3,10,0.1,2,1,-14.7671393106082,8.39659123460327,"T1",2.55050399999999,-14.9653507983751,8.37762452138105,"T1","RF10A2",0.198211487766841,0.018966713222218
"Exp2B_S1",3,10,0.1,2,1,-12.5322257232885,-8.45925236321971,"T4",7.94248149999999,-14.9653507983751,8.37762452138105,"T1","RF10A2",2.43312507508662,-16.8368768846008
"Exp2B_S1",3,10,0.1,2,1,4.01031223145231,-1.52475412966676,"T5",35.3662274,-14.9653507983751,8.37762452138105,"T1","RF10A2",18.9756630298274,-9.90237865104781
"Exp2B_S1",3,10,0.1,2,1,-14.6835911391196,15.9159266685763,"miss",65.4457582,-14.9653507983751,8.37762452138105,"T1","RF10A2",0.281759659255432,7.53830214719529
"Exp2B_S1",6,8,0.25,3,1,-4.28184378879022,-7.68643177695025,"T5",1.87932010000003,-15.9204897951223,3.12717824642308,"T1","RF8A5",11.6386460063321,-10.8136100233733
"Exp2B_S1",6,8,0.25,3,1,11.2998901938318,-13.0544017950921,"T2",3.83914959999998,-15.9204897951223,3.12717824642308,"T1","RF8A5",27.2203799889541,-16.1815800415152
"Exp2B_S1",6,8,0.25,3,1,11.9891626086126,0.396853814570801,"T3",5.9511564,-15.9204897951223,3.12717824642308,"T1","RF8A5",27.9096524037349,-2.73032443185228
"Exp2B_S1",6,8,0.25,3,1,-15.2475412966676,3.59257137400936,"T1",66.9183207,-15.9204897951223,3.12717824642308,"T1","RF8A5",0.672948498454703,0.465393127586279
"Exp2B_S1",6,8,0.25,3,1,-9.39916929246634,8.52191349183615,"T4",136.9334637,-15.9204897951223,3.12717824642308,"T1","RF8A5",6.52132050265598,5.39473524541307
"Exp2B_S1",5,20,0.1,4,1,6.03635539005061,10.1302157929915,"T3",2.91452860000004,-14.0346366685663,7.33569465821438,"T1","RF20A2",20.070992058617,2.79452113477713
"Exp2B_S1",5,20,0.1,4,1,12.4277905089277,-2.29757471593622,"T4",5.15441269999997,-14.0346366685663,7.33569465821438,"T1","RF20A2",26.4624271774941,-9.63326937415059
"Exp2B_S1",5,20,0.1,4,1,-15.7488303255992,-11.2998901938318,"T2",20.7140214,-14.0346366685663,7.33569465821438,"T1","RF20A2",-1.71419365703281,-18.6355848520461
"Exp2B_S1",5,20,0.1,4,1,-14.5582688818868,7.64465769120596,"T1",30.714059,-14.0346366685663,7.33569465821438,"T1","RF20A2",-0.523632213320411,0.308963032991583
"Exp2B_S1",5,20,0.1,4,1,-4.24006970304593,-13.1170629237086,"miss",67.5933521000001,-14.0346366685663,7.33569465821438,"T1","RF20A2",9.79456696552042,-20.452757581923
"Exp2B_S1",5,20,0.1,4,1,4.74135873197747,-5.09643846080397,"T5",74.8653931,-14.0346366685663,7.33569465821438,"T1","RF20A2",18.7759954005438,-12.4321331190183
"Exp2B_S1",7,10,0.25,5,1,-8.91876730640695,-6.85095006206436,"T4",1.5435652000001,2.88685909049595,9.43629254569637,"T1","RF10A5",-11.8056263969029,-16.2872426077607
"Exp2B_S1",7,10,0.25,5,1,-4.40716604602311,5.05466437505968,"T2",2.2273947000001,2.88685909049595,9.43629254569637,"T1","RF10A5",-7.29402513651906,-4.38162817063669
"Exp2B_S1",7,10,0.25,5,1,4.0938604029409,9.00231547789554,"T1",3.2635295,2.88685909049595,9.43629254569637,"T1","RF10A5",1.20700131244495,-0.433977067800827
"Exp2B_S1",7,10,0.25,5,1,10.3181991788408,15.2266542537955,"T5",4.01555480000002,2.88685909049595,9.43629254569637,"T1","RF10A5",7.43134008834488,5.79036170809911
"Exp2B_S1",7,10,0.25,5,1,4.32361787453452,-16.5843120404851,"T3",47.1266856000001,2.88685909049595,9.43629254569637,"T1","RF10A5",1.43675878403857,-26.0206045861814
"Exp2B_S1",4,14,0.1,6,1,-15.3519765110284,-9.85868423565359,"T5",8.00478559999999,8.34951177813412,-8.12270966485923,"T1","RF14A2",-23.7014882891625,-1.73597457079435
"Exp2B_S1",4,14,0.1,6,1,-5.78571087558484,-15.2475412966676,"T3",9.66091530000006,8.34951177813412,-8.12270966485923,"T1","RF14A2",-14.135222653719,-7.12483163180839
"Exp2B_S1",4,14,0.1,6,1,14.4329466246539,6.78828893344792,"T4",21.4849669,8.34951177813412,-8.12270966485923,"T1","RF14A2",6.08343484651976,14.9109985983071
"Exp2B_S1",4,14,0.1,6,1,-7.05982049078583,-3.63434545975365,"T2",26.9326312000001,8.34951177813412,-8.12270966485923,"T1","RF14A2",-15.4093322689199,4.48836420510558
"Exp2B_S1",4,14,0.1,6,1,-17.6704382698367,17.9210827843025,"miss",93.3957617,8.34951177813412,-8.12270966485923,"T1","RF14A2",-26.0199500479708,26.0437924491617
"Exp2B_S1",4,14,0.1,6,1,-16.5634249976129,17.9210827843025,"miss",93.8597149,8.34951177813412,-8.12270966485923,"T1","RF14A2",-24.912936775747,26.0437924491617
"Exp2B_S1",1,0,0,7,1,-12.323355294567,5.40974410388618,"T1",2.44797840000001,-11.9022122488894,5.68151834071744,"T1","RF0A0",-0.421143045677592,-0.271774236831255
"Exp2B_S1",1,0,0,7,1,13.889883509978,8.1459467201375,"T2",14.6795023,-11.9022122488894,5.68151834071744,"T1","RF0A0",25.7920957588674,2.46442837942006
"Exp2B_S1",1,0,0,7,1,6.4749832903657,12.5948868519049,"miss",22.2632726000001,-11.9022122488894,5.68151834071744,"T1","RF0A0",18.3771955392551,6.91336851118746
"Exp2B_S1",1,0,0,7,1,10.485295521818,-12.323355294567,"T5",66.2227858,-11.9022122488894,5.68151834071744,"T1","RF0A0",22.3875077707074,-18.0048736352844
"Exp2B_S1",1,0,0,7,1,0.939916929246634,7.99973742003246,"T4",72.254576,-11.9022122488894,5.68151834071744,"T1","RF0A0",12.842129178136,2.31821907931503
"Exp2B_S1",1,0,0,7,1,-2.23491358731977,-14.9342356535854,"T3",81.7104016,-11.9022122488894,5.68151834071744,"T1","RF0A0",9.66729866156962,-20.6157539943028
"Exp2B_S1",13,20,0.5,8,1,-11.3416642795761,-6.70474076195932,"T1",1.33864360000007,-11.1773301466174,-7.0534961593732,"T1","RF20A10",-0.164334132958651,0.348755397413872
"Exp2B_S1",13,20,0.5,8,1,-1.29499665807314,-10.6732789076673,"T3",2.31086449999998,-11.1773301466174,-7.0534961593732,"T1","RF20A10",9.88233348854426,-3.61978274829414
"Exp2B_S1",13,20,0.5,8,1,14.4120595817817,10.9656975078774,"T2",4.33037910000007,-11.1773301466174,-7.0534961593732,"T1","RF20A10",25.5893897283991,18.0191936672506
