"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored"
"Exp2_S1","RF5A5",8,5,0.25,7.64,1,1,1,5.80184270000001,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,1,2,1,2.92839029999999,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,1,3,1,2.52249519999998,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,1,4,1,2.61755170000004,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,1,5,1,3.95139380000001,1
"Exp2_S1","RF0A0",1,0,0,7.22,1,6,1,3.39275340000006,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,1,7,1,3.36231550000002,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,1,8,1,2.19171949999998,1
"Exp2_S1","RF3A5",6,3,0.25,6.53,1,9,1,5.33410789999994,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,1,10,1,2.06527889999984,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,1,11,1,5.12502929999982,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,1,12,1,3.49021200000016,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,1,13,1,1.40837669999996,1
"Exp2_S1","RF0A0",1,0,0,7.22,2,14,1,1.28927079999994,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,2,15,1,1.5068053,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,2,16,1,10.4266157,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,2,17,1,2.47045220000018,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,2,18,1,2.77386750000005,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,2,19,1,1.67995670000028,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,2,20,1,2.95112000000017,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,2,21,1,1.31024930000012,1
"Exp2_S1","RF3A5",6,3,0.25,6.53,2,22,1,2.07502430000022,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,2,23,1,1.61890010000025,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,2,24,1,0.970608300000094,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,2,25,1,0.950534500000231,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,2,26,1,1.98638329999994,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,1,1,2,7.21020040000002,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,1,2,2,3.97650199999998,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,1,3,2,4.68177329999997,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,1,4,2,11.1456413,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,1,5,2,6.16504409999999,1
"Exp2_S1","RF0A0",1,0,0,7.22,1,6,2,4.00984840000001,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,1,7,2,7.41860780000002,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,1,8,2,4.39115449999997,1
"Exp2_S1","RF3A5",6,3,0.25,6.53,1,9,2,23.5577731,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,1,10,2,2.91373069999986,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,1,11,2,11.4927385999999,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,1,12,2,9.97862550000013,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,1,13,2,2.11250519999999,1
"Exp2_S1","RF0A0",1,0,0,7.22,2,14,2,1.94505439999989,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,2,15,2,2.07552740000006,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,2,16,2,20.71361,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,2,17,2,4.03915340000003,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,2,18,2,3.30959829999983,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,2,19,2,2.22258230000034,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,2,20,2,6.56656000000021,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,2,21,2,2.11175270000012,1
"Exp2_S1","RF3A5",6,3,0.25,6.53,2,22,2,39.7558996000002,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,2,23,2,2.49797250000029,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,2,24,2,1.54547049999974,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,2,25,2,2.00618050000003,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,2,26,2,6.83536559999993,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,1,1,3,10.8416659,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,1,2,3,6.40001549999999,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,1,3,3,7.3213561,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,1,4,3,16.137622,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,1,5,3,19.0852734,1
"Exp2_S1","RF0A0",1,0,0,7.22,1,6,3,5.27369290000001,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,1,7,3,8.52220540000008,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,1,8,3,56.6637033000001,1
"Exp2_S1","RF3A5",6,3,0.25,6.53,1,9,3,57.6864482999999,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,1,10,3,35.4729995999999,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,1,11,3,14.7011395999998,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,1,12,3,11.2819098,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,1,13,3,2.79306399999996,1
"Exp2_S1","RF0A0",1,0,0,7.22,2,14,3,3.20858509999994,1
"Exp2_S1","RF5A2",4,5,0.1,6.97,2,15,3,2.73932869999999,1
"Exp2_S1","RF3A2",2,3,0.1,6.72,2,16,3,47.0577094999999,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,2,17,3,7.85517920000007,1
"Exp2_S1","RF4A10",11,4,0.5,8.2,2,18,3,21.037292,1
"Exp2_S1","RF8A5",9,8,0.25,9.72,2,19,3,2.99100640000006,1
"Exp2_S1","RF4A2",3,4,0.1,6.83,2,20,3,10.4458043000004,1
"Exp2_S1","RF5A10",12,5,0.5,9.5,2,21,3,180,0
"Exp2_S1","RF3A5",6,3,0.25,6.53,2,22,3,68.6590842000001,1
"Exp2_S1","RF3A10",10,3,0.5,6.99,2,23,3,3.65801349999992,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,2,24,3,6.19449649999979,1
"Exp2_S1","RF4A5",7,4,0.25,7.04,2,25,3,2.57406209999999,1
"Exp2_S1","RF8A10",13,8,0.5,13.67,2,26,3,12.5306218000001,1
"Exp2_S1","RF5A5",8,5,0.25,7.64,1,1,4,180,0
"Exp2_S1","RF4A5",7,4,0.25,7.04,1,2,4,38.8161623,1
"Exp2_S1","RF8A2",5,8,0.1,7.52,1,3,4,63.1146754,1
