"Subject_ID","Condition_name","Radial_frequency","Amplitude","perimeter_cm","Condition_number","RMST"
"Exp4_S1","RF0A0",0,0,7.22,1,37.66794243
"Exp4_S1","RF8A2",8,0.1,7.52,2,15.36510977
"Exp4_S1","RF10A2",10,0.1,8,3,27.1539524
"Exp4_S1","RF14A2",14,0.1,9.1,4,13.71490012
"Exp4_S1","RF20A2",20,0.1,11.03,5,15.29782768
"Exp4_S1","RF8A5",8,0.25,9.72,6,38.12753766
"Exp4_S1","RF10A5",10,0.25,11.26,7,14.14751603
"Exp4_S1","RF14A5",14,0.25,14.55,8,15.06758152
"Exp4_S1","RF20A5",20,0.25,19.71,9,6.63012565
"Exp4_S1","RF8A10",8,0.5,13.67,10,9.90812292
"Exp4_S1","RF10A10",10,0.5,16.57,11,7.64544722
"Exp4_S1","RF14A10",14,0.5,22.49,12,3.849469
"Exp4_S1","RF20A10",20,0.5,31.54,13,3.76039311
"Exp4_S12","RF0A0",0,0,7.22,1,27.02090853
"Exp4_S12","RF8A2",8,0.1,7.52,2,52.29051227
"Exp4_S12","RF10A2",10,0.1,8,3,79.03844592
"Exp4_S12","RF14A2",14,0.1,9.1,4,22.25479131
"Exp4_S12","RF20A2",20,0.1,11.03,5,21.55964507
"Exp4_S12","RF8A5",8,0.25,9.72,6,62.10663672
"Exp4_S12","RF10A5",10,0.25,11.26,7,8.55496642
"Exp4_S12","RF14A5",14,0.25,14.55,8,41.15536567
"Exp4_S12","RF20A5",20,0.25,19.71,9,6.85532563
"Exp4_S12","RF8A10",8,0.5,13.67,10,18.56757941
"Exp4_S12","RF10A10",10,0.5,16.57,11,3.04009353
"Exp4_S12","RF14A10",14,0.5,22.49,12,3.84617318
"Exp4_S12","RF20A10",20,0.5,31.54,13,3.2030192
"Exp4_S14","RF0A0",0,0,7.22,1,8.4420797
"Exp4_S14","RF8A2",8,0.1,7.52,2,26.70168354
"Exp4_S14","RF10A2",10,0.1,8,3,75.71230122
"Exp4_S14","RF14A2",14,0.1,9.1,4,31.61494208
"Exp4_S14","RF20A2",20,0.1,11.03,5,8.45554509
"Exp4_S14","RF8A5",8,0.25,9.72,6,43.6184467
"Exp4_S14","RF10A5",10,0.25,11.26,7,16.9169681
